order_id,product_id,quantity,customer_id,order_date,transaction_status,transaction_method
000611f6-cb64-47e9-93bd-22e4f8f12e4e,8GY5M75JD44,39,01HQP4D6DKA7K2AQ25E7V0N220,2023-09-05,cancelled,PayPal
0008d32f-dd4b-4c6b-a76d-40ef28cfb2db,1G44EJ8TJ08,1,01HQP4D32ZY3JD845ANWS440D4,2024-01-08,failed,Venmo
004023f8-89c0-462d-8d0b-ebdaae4ac544,5PD3DD3YD39,51,01HQP4D5CB7TKHQ6DT4YQW4VC9,2023-11-08,pending,PayPal
004c93e0-dfc1-4190-bba7-2a018079b354,6VT4TC0AD68,19,01HQP4D6KCVMTK079T42ARQEW4,2023-12-07,completed,Google Pay
0063c3f4-a9d2-44f4-a898-8a82cc7adb48,2H87T36CA52,87,01HQP4D032H10XF8CZHY888BRW,2023-07-26,in progress,PayPal
00eb41d6-7f6d-4953-a3ee-c44fe375b0be,2TN6HQ7MQ38,71,01HQP4D51D5MN7QB6BYMCQ6T5R,2023-09-12,cancelled,Google Pay
00f15828-2fea-4fb3-813e-584f8955ceac,9RJ2QK3DE37,87,01HQP4D1B27FPFZV8AC20YY2DV,2023-03-08,cancelled,PayPal
01ae2a94-759d-42a5-ad8a-d44a7b52fbd7,9GH0U79HG66,66,01HQP4D1C43JTPQ0GFBB6V6PBV,2023-08-12,failed,Google Pay
01e5df37-fc0f-4090-9763-8d11666c3bfe,2GX7HN1HG81,46,01HQP4D3YV46Z93PZWBVQZNVYD,2023-07-28,completed,credit card
01eb445a-274a-40ed-9243-719529efeb21,2CK5AX9KH72,81,01HQP4D327YTF97P3R681TD4CV,2023-11-20,in progress,credit card
020b84c1-e10d-4d36-8a5f-07901e40a66a,9YG9C07CV47,52,01HQP4D496M29G2D9YQ3TF6EYX,2023-05-15,in progress,Google Pay
02f693bf-e952-412a-a687-24c5bc8876be,5CQ1KE2YU33,19,01HQP4D4W5NBZTKMEYGET2JK6K,2023-10-05,pending,credit card
033d73e8-5008-49ae-b9f9-1e27542d681d,6KM5WP3CW30,38,01HQP4D50SWKJKGEFDN2R2DFCK,2023-06-28,failed,debit card
03718afe-c1bb-4b2b-a4cc-837087a6bf6d,3HA9HX7DX66,66,01HQP4D5BSWFHK45MM2PYVQXVE,2024-01-05,cancelled,debit card
037b0c7e-2ef2-430f-adf7-45da6ca0293f,9EU9K95PG07,54,01HQP4D4W74P7GXCD6DM43GNNF,2023-08-09,failed,credit card
03a94f50-4a27-4ae7-8953-41fea5b04a57,1EK3HG2VD35,56,01HQP4D1BJ5BZ086QEWK17PS2F,2023-09-16,failed,PayPal
03f2c521-f477-4212-9075-842321cd4269,6FR0E75YE74,59,01HQP4D5CB7TKHQ6DT4YQW4VC9,2023-06-30,completed,Venmo
03fe6505-7afa-4111-a2e0-10a18aa3cee9,9A66H64FA64,36,01HQP4D5A94QWDV58YBY2C66VB,2024-02-14,completed,PayPal
044d5dba-3967-4dd5-8f7f-0fb67f5518a2,1MG5J33DQ09,56,01HQP4D4WMR9H5BCVJ0GJ3H1DG,2023-03-10,cancelled,debit card
0498f3e9-0607-4934-96b1-7f872ee11ecb,1WH9JU6CN73,93,01HQP4D51NB5A44BPCS6Q0JCKM,2024-02-02,cancelled,Venmo
04ba7863-1a42-445f-b929-cea693edd6a6,3HC3EC7NF29,92,01HQP4D46VN2WPVRE7WMN4WZCR,2023-06-18,cancelled,Venmo
04eb5592-7525-42d9-a316-a494b4c8b997,8Y34X61JM56,85,01HQP4D1BRZWF6W283CNBWBXY5,2023-10-01,pending,Google Pay
04fb44c4-9197-4e8a-a72a-0161da4e0b49,4KF2XX1GT05,67,01HQP4D6QCVYC8C5YEGSZD8WF1,2023-06-23,failed,Google Pay
05063da1-5a7f-48b5-8f15-456c98341753,4CF9AF4XA40,36,01HQP4CZTFTG4F9BVRQ2PKTDWY,2023-07-15,pending,PayPal
05378fbc-74b5-4259-b18d-1f6bbf99d919,3HA9HX7DX66,71,01HQP4D327YTF97P3R681TD4CV,2023-03-23,in progress,Apple Pay
055fdfe0-dc75-4765-a3e8-bba43c30d135,8YX4VY7CV78,8,01HQP4D534AMED8FCR3VRVT8H2,2023-07-16,pending,Google Pay
05852ff8-b289-4d83-b882-8c995c24ac1b,7V35PF7FA81,53,01HQP4CZR8H55JVBC96KTXYN2J,2023-07-15,cancelled,credit card
05ce6c75-4a20-45d9-9497-83392c0b5458,1D54NM0XV43,44,01HQP4D4M4BS462897896GE1TX,2023-03-28,cancelled,Apple Pay
06397d42-8f44-47ae-9414-c1ec827def1f,7XR1KY0NP64,40,01HQP4D4VZM5840N01SRATT8Q1,2023-06-11,completed,credit card
06828466-5303-4513-bf7f-1ada5cc75af2,5U52CC8GH71,51,01HQP4D030S167MTC5XJB1BR89,2023-08-16,cancelled,Venmo
068a6d3a-4e54-49fb-94f1-6bf2d0b46e69,3M83MY9QY56,88,01HQP4D3ZTMYN2HNG2Q0NEC1HC,2023-08-02,in progress,PayPal
069bbc33-7cb7-429e-a37e-a0ad1b58920f,8H99HV5HU19,97,01HQP4D6Q48A6JB99DVVEYGWBQ,2023-02-28,cancelled,Apple Pay
0716171c-fe6f-4045-8eaa-593eada725d7,1QV1FJ6KQ49,27,01HQP4D6K8C8QB3BF9EG5T834W,2023-09-25,cancelled,credit card
07de224d-997a-43d3-8c69-1ea17d220b95,3T84VF4QD71,52,01HQP4D4H29Z6TYATCN9XQDTKJ,2023-09-06,cancelled,PayPal
084179ae-4f5a-4628-8ed4-ca21580412d4,5TD5FY6VD00,46,01HQP4D6DSWHFWK4QX3266PVKM,2023-10-02,failed,debit card
08e5c28d-9d95-4107-b622-83fc82f36c50,2H07HR3AN89,40,01HQP4D6KCVMTK079T42ARQEW4,2023-05-13,completed,Google Pay
08f6979f-de60-4e69-849e-7027ce25b701,1FV3NC3ND01,54,01HQP4D40P08Y9RY57YCKMVT1V,2023-03-19,failed,debit card
092f1da5-82df-4b3b-803a-ef9417f13453,9YT2TY0MJ74,76,01HQP4D6KWAFXXZ9KW80KADWNW,2023-07-07,pending,Venmo
0a0bcf58-a8b8-4460-81aa-509e1883baa5,5TJ3EK4JJ51,14,01HQP4D4H4B8JF2DE0QZMZRDNB,2024-01-06,cancelled,credit card
0a201af6-56d0-46d1-b5ba-f34b147d273f,3D28T37MH89,48,01HQP4D474FYH54NFT5B0KXJAK,2023-11-05,in progress,Google Pay
0aa7b3ef-b4c8-4045-a225-7e3e0bf2029b,1HR7MY3DP49,88,01HQP4D4S1V9ANV9E6YE3GGF1E,2023-06-20,pending,Google Pay
0b1d6d9c-bcff-4ba8-b46e-1cf9c0bc0ab9,7W90KM8PY34,100,01HQP4D507SN9XDAC1TAP0MBG5,2024-02-10,in progress,Apple Pay
0b21b4e1-46bc-41e2-8e06-63328517fffc,6WC7WC7HJ83,21,01HQP4D1CHSYP6DXFG5MH6GR8E,2023-11-13,in progress,Venmo
0b8f53d5-6909-481e-8045-c43e8adcd4eb,5MN2A10FG43,78,01HQP4D48ZRNKGJT14VZ7BYFMB,2024-01-06,in progress,Google Pay
0b9fcb70-3357-4039-9794-1b4bd557f2e1,9T24WQ4AW08,30,01HQP4D54YSMQP43EP8TNQJD6D,2023-03-18,completed,Google Pay
0c2435e5-8c98-4e31-8ac8-b4e8736b5313,1GK7TP1GE63,3,01HQP4D2TW6K75NCE477A9N86G,2024-02-20,completed,Apple Pay
0c4bef1e-11f0-44cb-93bb-6d236438dc9c,3UQ6JC1FJ55,80,01HQP4D4WV9F9WEP9ZWPVMTHN6,2023-06-15,in progress,credit card
0c683674-dd4b-4f93-b20a-1e420639a96c,9WW1VF3FE02,74,01HQP4D5BMCSVFR2B8B199C496,2023-04-07,completed,Apple Pay
0c8c167f-5956-4a77-a7f9-0406c5218f48,9Y46P59HU11,89,01HQP4D5CAAB7844AM7220VCRT,2024-02-15,pending,Apple Pay
0cb125b7-839c-4a34-ba8b-84043cf200ce,5Y48F97CT45,2,01HQP4D5AHJHKG757VFA61P6QY,2024-01-16,in progress,Apple Pay
0d368843-6b08-4f86-930c-2933a84c0abd,5NW5FT0NA97,21,01HQP4D2VR91YDK4EYJRYD81YN,2023-05-01,failed,credit card
0da804bb-2619-426c-8164-a2989ca91594,5T86YT9HV15,22,01HQP4D49BSPNAEK8FVKYEGS56,2023-05-17,failed,debit card
0dbffc92-c5b3-4302-9cdd-9867306e087d,7K27P15UC40,19,01HQP4D4NBPDCJZCRPKNDE5713,2023-09-01,failed,Google Pay
0dde4c19-fb4f-4f4f-b3c3-42c5151d6180,8XR1X90AJ17,20,01HQP4D6F6ZPPAN4N3V2ZQ8F57,2023-12-01,cancelled,debit card
0e03a2bb-dc9d-4fe3-9511-5b8bc5e7b03c,9KY0Y40XF72,40,01HQP4D50QE9M5XYGKCBZ9JW8Q,2023-04-06,pending,Apple Pay
0e2be5eb-a420-49e4-9fb3-13584e822918,7Q83EM8NH08,76,01HQP4D78TZCX81X42WB78345R,2023-05-26,failed,PayPal
0f39f308-7297-4976-8dfa-01ff1b53a703,6YF7QC5VE05,24,01HQP4CZRS75B4X3F0N7VTQKPT,2023-09-16,cancelled,credit card
0f7fc924-07ac-4815-ba4b-84cf767687b3,3K49CK5RR81,69,01HQP4D6FZH084M1Y5DZ77XRB5,2023-09-26,pending,Google Pay
0f99b31c-9aab-4158-9d4b-75fee2406010,8DF2AN1QN30,68,01HQP4D79V3JZ4HYEXME27YHJQ,2023-10-07,pending,PayPal
0fd247a5-cc17-4e6e-9ce4-f6f33c3ea15b,6G57MM7UX85,59,01HQP4D6FXP31471V7T0SJK30N,2023-09-01,cancelled,Venmo
1050a94c-315c-4047-8c67-e3aab5571464,3DD5KX0DW16,62,01HQP4D50GNE125JKRHY1GRJE3,2023-05-12,in progress,PayPal
1096d4c9-d69f-4e94-a48a-2857f35a3517,1VP3X75GX09,25,01HQP4D4TC2MQRAM3JA8TB4XFH,2023-04-15,completed,debit card
10d82171-385c-4b69-b82d-935179e70447,4NV2ND4QK96,2,01HQP4D346QJPYJ2VW08DB5JTT,2024-02-14,pending,Venmo
1105602b-dd43-43eb-8f3b-932aaf84497b,6DC7F66VA36,19,01HQP4D6DHXYP83DFSWG71MEMV,2023-10-21,cancelled,Apple Pay
113d8efd-2de4-4146-96f0-8b745a01c523,6YD5PR4MN09,88,01HQP4D79MK6YVPAGWW38ECQG2,2023-09-03,completed,Google Pay
