review_id,review_date,reviews,product_id,ratings,order_id
4674e870-c78c-468b-afc6-a3aa3d526f77,2023-09-07,The product was falsely advertised with exaggerated claims,7W49NY4MP85,2,000611f6-cb64-47e9-93bd-22e4f8f12e4e
39f4f268-0eb0-454b-9a1a-419a41294cb5,2024-01-13,"The product was falsely advertised, didn't match the description",8F21FW6HR22,1,0008d32f-dd4b-4c6b-a76d-40ef28cfb2db
c66c5b06-5181-45dd-aae5-10a695c9f37a,2023-11-10,The product didn't come with all the necessary parts,3GV7G81TW32,1,004023f8-89c0-462d-8d0b-ebdaae4ac544
b271984c-af1f-4bb2-97ed-11dd34b6a3b7,2023-12-13,"It's adequate for basic needs, but lacks some features",3RF5N51PY30,3,004c93e0-dfc1-4190-bba7-2a018079b354
488292b4-280c-4cc6-903f-c150c2d13cc7,2023-07-31,No comment,7UQ4VG3DU35,4,0063c3f4-a9d2-44f4-a898-8a82cc7adb48
f2b9a720-6dc7-40af-948d-25d70aa6e85f,2023-06-04,"The product was difficult to assemble, instructions were unclear",1KU4PN8FU70,1,009e9fe3-9b63-4a48-b19e-ef4a2a686c45
8bb7d318-30e1-4bd9-b6fe-b1313b599d02,2023-09-16,"Amazing value for money, 5 stars all the way",5PV5D00DW17,5,00eb41d6-7f6d-4953-a3ee-c44fe375b0be
69be65d9-2679-40ae-8dbe-5e0b58875273,2023-03-12,"Amazing value for money, highly recommend",6NF6T09NQ34,5,00f15828-2fea-4fb3-813e-584f8955ceac
338d99b7-b004-43fa-9781-b31fbc679709,2023-08-14,"It's satisfactory, but there's room for improvement",8J59JK0QT54,3,01ae2a94-759d-42a5-ad8a-d44a7b52fbd7
195f5b7d-5825-4bff-ad94-858aa1e44ca7,2023-07-31,"Phenomenal product, highly impressed",9C71A69AA07,5,01e5df37-fc0f-4090-9763-8d11666c3bfe
ec06c1d2-9d6f-4b8b-9d3b-f01debb6f763,2023-11-25,"Remarkable product, 5 stars all the way",1VP3X75GX09,5,01eb445a-274a-40ed-9243-719529efeb21
09e93a8d-037e-4b01-9047-14444852d402,2023-05-21,The product's advertised range/reach was much shorter than stated,9PH6HJ5YF42,2,020b84c1-e10d-4d36-8a5f-07901e40a66a
782e9391-bc95-4f8e-a4e6-0da25cab071e,2023-11-30,No comment,6D73C39JV27,4,0268f6b3-9931-4e20-94cd-37e2f163046f
a88fb104-c4c8-4d8b-b11e-3b074a555013,2023-10-08,"The product's price dropped significantly shortly after purchase, felt cheated",3YD6TE9HQ38,2,02f693bf-e952-412a-a687-24c5bc8876be
88c81216-a0dc-47f8-bc69-838b752de473,2023-12-27,No comment,5TJ3EK4JJ51,5,032271c1-384f-493e-bf2d-2f5da21a72fa
02e831db-877c-4698-9ee3-30d989d26abf,2023-06-30,"Impressed beyond words, remarkable product",9Y46P59HU11,5,033d73e8-5008-49ae-b9f9-1e27542d681d
2645a7a6-91ed-466f-9517-0ddf6f4517c7,2024-01-11,The product was flimsy and fell apart easily,8TH8GX4QA76,1,03718afe-c1bb-4b2b-a4cc-837087a6bf6d
00718697-bfa9-4680-91c1-4ded249f636e,2023-08-14,The product was advertised as waterproof but couldn't withstand a light rain,9YW3WM0YQ23,2,037b0c7e-2ef2-430f-adf7-45da6ca0293f
